[10-Apr-2026 10:31:44 Asia/Colombo] [fleetAssign] POST received: reg_no=PA-1012, driver_id=5108, conductor_id=6104
[10-Apr-2026 10:31:44 Asia/Colombo] [fleetAssign] assign result: success for reg_no=PA-1012
[10-Apr-2026 10:32:01 Asia/Colombo] [fleetAssign] POST received: reg_no=PA-1002, driver_id=2, conductor_id=1
[10-Apr-2026 10:32:01 Asia/Colombo] [fleetAssign] assign result: success for reg_no=PA-1002
[10-Apr-2026 11:04:20 Asia/Colombo] [fleetAssign] POST received: reg_no=PB-1001, driver_id=0, conductor_id=0
[10-Apr-2026 11:04:20 Asia/Colombo] [fleetAssign] assign result: success for reg_no=PB-1001
[10-Apr-2026 11:06:14 Asia/Colombo] [fleetAssign] POST received: reg_no=PB-1001, driver_id=5109, conductor_id=9
[10-Apr-2026 11:06:14 Asia/Colombo] [fleetAssign] assign result: success for reg_no=PB-1001
[10-Apr-2026 11:06:48 Asia/Colombo] [fleetAssign] POST received: reg_no=PA-1002, driver_id=2, conductor_id=1
[10-Apr-2026 11:06:48 Asia/Colombo] [fleetAssign] assign result: success for reg_no=PA-1002
